skill,link
AWS,https://www.pluralsight.com/search?q=AWS
Active Directory,https://www.coursera.org/search?query=Active%20Directory
Adobe XD,https://www.freecodecamp.org/news/search/?query=Adobe%20XD
Agile,https://www.linkedin.com/learning/search?keywords=Agile
Amazon Redshift,https://www.coursera.org/search?query=Amazon%20Redshift
Angular,https://www.coursera.org/search?query=Angular
Ansible,https://www.pluralsight.com/search?q=Ansible
Apache,https://www.pluralsight.com/search?q=Apache
Appium,https://www.udemy.com/courses/search/?q=Appium
Artificial Intelligence,https://www.coursera.org/search?query=Artificial%20Intelligence
Asana,https://www.linkedin.com/learning/search?keywords=Asana
Attention to Detail,https://www.udemy.com/courses/search/?q=Attention%20to%20Detail
Automation Testing,https://www.udemy.com/courses/search/?q=Automation%20Testing
Azure,https://www.pluralsight.com/search?q=Azure
BGP,https://www.coursera.org/search?query=BGP
BigQuery,https://www.coursera.org/search?query=BigQuery
Bitbucket,https://www.udemy.com/courses/search/?q=Bitbucket
Bootstrap,https://www.freecodecamp.org/news/search/?query=Bootstrap
Bug Tracking,https://www.coursera.org/search?query=Bug%20Tracking
Business Intelligence,https://www.coursera.org/search?query=Business%20Intelligence
C,https://www.udemy.com/courses/search/?q=C
C#,https://www.udemy.com/courses/search/?q=C%23
C++,https://www.udemy.com/courses/search/?q=C%2B%2B
CI/CD,https://www.pluralsight.com/search?q=CI/CD
CRM,https://www.coursera.org/search?query=CRM
CSS,https://www.freecodecamp.org/news/search/?query=CSS
Cassandra,https://www.coursera.org/search?query=Cassandra
CatBoost,https://www.udemy.com/courses/search/?q=CatBoost
CircleCI,https://www.coursera.org/search?query=CircleCI
Cisco,https://www.coursera.org/search?query=Cisco
Classification,https://www.udemy.com/courses/search/?q=Classification
Clustering,https://www.coursera.org/search?query=Clustering
CodeIgniter,https://www.coursera.org/search?query=CodeIgniter
Communication,https://www.linkedin.com/learning/search?keywords=Communication
Computer Vision,https://www.coursera.org/search?query=Computer%20Vision
Cordova,https://www.coursera.org/search?query=Cordova
Critical Thinking,https://www.coursera.org/search?query=Critical%20Thinking
Cryptography,https://www.coursera.org/search?query=Cryptography
Cybersecurity,https://www.coursera.org/search?query=Cybersecurity
