posisi,perusahaan,kota,provinsi,gaji,tools,pendidikan,pengalaman,deskripsi_lengkap,level
Data Analyst,PT IEKIMTIE MEDIKA WEST,Genteng,Jawa Timur,,SQL,"Industrial Engineering, Informatics Engineering",0,"Kualifikasi
:
S1 Teknik Industri / Informatika / Sains ( Fresh Graduate )
Mampu menguasai SQL
Mampu menguasai Alat Visualisasi Data
Jobdesk :
Menarik data dari database dan menyajikan secara visual
Mengubah dari data menjadi bentuk infomasi untuk membuat managemen mengambil keputusan",Entry Level
Data Analyst/Intelligence,PT Susu Life Indonesia,Jakarta Barat,Jakarta Raya,,"Power BI, Tableau, Excel","Accounting, Economics, Finance",3,"Key Responsibilities
Build, maintain, and automate dashboards (daily, weekly, monthly reports).
Perform sales, inventory (PSI), and financial analysis.
Conduct ROI analysis for marketing and trade investments.
Forecast demand and support supply chain planning.
Support sales team with performance tracking and incentive calculations.
Provide competitor and market intelligence to management.
Requirements
Bachelor’s degree in Finance, Accounting, Economics, or related.
Strong financial analysis and modeling skills.
Excel / Google Sheets expert
(pivot tables, macros, formulas).
Knowledge of BI tools (Power BI, Tableau, Zoho, or equivalent) is a plus.
Strong attention to detail and structured thinking.
2–3 years experience in financial/data analysis.",Mid Level
DATA  ANALYST,PT Venindo Jaya Abadi,Jakarta Utara,Jakarta Raya,9500000,"SPSS, SQL, Python, Power BI, Oracle, Excel",,,"Job Desk Data Analyst
Berikut merupakan Job Desk Data Analyst :
Mengumpulkan Data yang akurat
Mengelompokan dan mengidentifikasikan  Data : Membuat rancangan , menyimpan dan mengelola database
Mengolah Data – data yang dimiliki Menggunakan alat statistik
seperti microsoft excel, program spss, sampai dengan program SQL.
Membuat kesimpulan dan laporan yang relevan setelah data dianalisis.
Berkomunikasi dengan Internal Customer : Logistik, Sales etc
Menyampaikan laporan tersebut menjadi sebuah informasi yang mudah untuk dipahami.
Kualifikasi Data Analyst
1. Mengerti Bahasa Pemrograman
Bahasa pemrograman seperti SQL (Structured Query Language) , Oracle dan Python merupakan bahasa yang paling sederhana yang wajib dimengerti oleh Data Analyst.
2. Familiar dengan platform Power BI dari Microsoft
3. Mengerti Matematika dan Statistik
4. Mampu menganalisis, menyajikan dan menginterpretasikan data
5. Mampu menggunakan Software
6. Memahami Data Warehousing
7. Akurat & Detail Oriented",
Data Analyst Associate,PT Solusi Transportasi Indonesia,Jakarta Lainnya,Jakarta Raya,,"SQL, Tableau, Python, Power BI, Oracle","Business Analytics, Computer Science, Data Analytics, Economics, Finance, Statistics",5,"Company Description
About Grab and Our Workplace
Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.
Job Description
Get to Know the Team
You will join a dynamic team reporting to the Senior Manager of Finance Data Strategy. We are dedicated to consolidating data from different sources to provide a coherent and unified view for finance stakeholders. We prioritize data consistency, quality, and accessibility, and we thrive on cross-functional collaboration to meet the diverse needs of our business.
Get to Know the Role
As a Data Analyst, Finance Product & Data Integration at Grab, you will consolidate data from various sources to provide a unified view for finance stakeholders. You will ensure data consistency, quality, and accessibility, while collaborating with Finance, business teams, and the Data Engineering team. Your role includes maintaining databases, ensuring data integrity and security, and conducting regular audits and quality checks. Robust analytical skills, attention to detail, and cross-functional collaboration are essential for this position. This role is based on-site in our Jakarta office.
The Critical Tasks You Will Perform
You will develop data integration solutions that match business requirements, craft SQL scripts, examine source data structures, detect data quality inconsistencies, and design strategies to handle data integration obstacles.
You will work with finance stakeholders, engineers, and product teams to comprehend the associated business processes and transform these understandings into technical scripts.
You will design and deploy data integration solutions, select appropriate data integration tools, develop data mapping, set up transformation and load (ETL) processes, and construct data integration workflows.
You will analyze requirements, and develop financial operational reports or dashboards, including automating existing reporting procedures.
You will provide technical support to resolve data integration issues and troubleshoot data-related problems.
You will guide a team of external consultants to execute system-related requests by breaking down business requirements into actionable steps based on how the system is set up.
Qualifications
What Essential Skills You Will Need
Bachelor's Degree in Data Analytics, Business Analytics, Finance, Economics, Statistics, Computer Science or a related field.
Minimum 5 years experiences at minimum in finance operations/data analytics/business intelligence area.
Must be fluent in SQL language, comfortable diving in messy and scattered data.
Exposure in financial reporting, Oracle ERP and data reconciliation.
Exposure in ETL tool, tableau, python is added advantage.
Familiar with the user interface and navigation of Power BI dashboards.
Additional Information
Life at Grab
We care about your well-being at Grab, here are some of the global benefits we offer:
We have your back with
Term Life Insurance
and comprehensive
Medical Insurance.
With
GrabFlex,
create a benefits package that suits your needs and aspirations.
Celebrate moments that matter in life with loved ones through
Parental
and
Birthday leave
, and give back to your communities through
Love-all-Serve-all (LASA)
volunteering leave
We have a confidential
Grabber Assistance Programme
to guide and uplift you and your loved ones through life's challenges.
Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours
What We Stand For At Grab
We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",Senior Level
Data Analyst Officer for Finance Divison,PT Global Jet Express (Cabang Jakarta),Jakarta Utara,Jakarta Raya,,Excel,,3,"Responsibilities:
Supporting Accounting Division in preparing the data for
franchise agents commission;
Collect all
franchise agents
commission deductions (Claim, Punishment, DFOD, Penalty, and Others);
Identify and analyze the business strategy, opportunity and risk; and
Prepare, manage and check administration and documentation.
Qualifications :
Bachelor’s degree (any discipline), with preference in Finance, Accounting, Economics, or related majors.
Minimum
3 Years
working experience in the related position;
Experienced in processing large-scale data using
Excel
(preferably those who understand Excel macros)
Strong communication skills to effectively build and maintain relationships with franchise agents
Having good analytical skill, logic thinking, honest, high integrity and self-motivated person.
Willing to be placed at Pluit,North Jakarta.
Able to join immediately",Mid Level
Data Analyst,PT Citarasa Kuliner Indonesia (Cimol Bojot AA),Bandung,Jawa Barat,8000000,"SQL, Tableau, Metabase, Google Data Studio, Python, Power BI, Excel",,2,"Cimol Bojot AA (PT Citarasa Kuliner Indonesia) is building a data team to support our digital transformation across business functions. We’re looking for an
entry-level Data Analyst
(fresh graduates or candidates with 1–2 years of experience) who is excited to work cross-functionally with manufacturing, warehouse, supply-chain, marketing, sales, and finance & accounting teams.
You’ll help turn raw data into actionable insights and dashboards that inform daily operations and strategic decisions. Under the guidance of the Data Manager, you’ll contribute to data collection, cleaning, analysis, and reporting to support various departments.
Qualification :
Fresh graduates or candidates with 1–2 years of experience in data/analytics
Proficient in SQL (required)
Basic knowledge of Python (for analysis or automation tasks)
Comfortable with spreadsheet-based reporting and Excel
Familiar with BI tools like Metabase, Tableau, Power BI, or Google Data Studio
Strong interest in data collection, transformation, and automation
Good communication skills and willingness to work across teams
A growth mindset and eagerness to learn new tools or methods
Job Description :
Collaborate with different teams (manufacture, warehouse, sales, finance, etc.) to understand data and reporting needs
Write and optimize SQL queries to extract and validate data
Build interactive dashboards using tools like Metabase, Tableau, Power BI, or Google Data Studio
Clean, structure, and prepare data for analysis
Support simple ETL tasks to consolidate data from different sources
Present insights clearly to non-technical users through reports or dashboards
Document your work and share learnings with the team
Benefit :
Gaji Pokok + Tunjangan
BPJS Full",Mid Level
Data Analyst Staff,PT Chateraise Gobel Indonesia,Jakarta Lainnya,Jakarta Raya,,"SQL, Excel, Python","Business Administration, Marketing",2,"Job Description :
Collect, organize and analyst data from various sources to identify trends, patterns, and insights
Develop and maintain data models, dashboards, and reports to present findings in a clear and concise manner
Collaborate with cross-functional teams to understand business requirements and translate them into data-driven solutions
Continuously evaluate and improve data processing and analysis methods to enhance efficiency and accuracy
Provide recommendations and support data-driven decision-making processes
Ensure data integrity, security, and compliance with relevant regulations and policies
Qualification :
D3 or Bachelor's degree in business administration, marketing, or a related field
Minimum 2-3 years experience in a sales support or administrative role
Strong problem-solving and critical thinking skills with the ability to think strategically
Excellent communication and presentation skills to effectively convey insights to both technical and non-technical stakeholders
Proficiency in data analysis software such as Excel, SQL, Python
Ability to work collaboratively in a team
Apply now for this exciting opportunity!",Mid Level
Data Analyst Staff,PT Sukanda Djaya,Bekasi,Jawa Barat,,"SQL, Excel","Information Technology, Mathematics, Statistics",2,"Tanggung Jawab Utama :
Mengumpulkan, memproses, dan menganalisis data dari berbagai sumber untuk mendukung inisiatif perusahaan
Melakukan pencatatan dan monitoring stock harian terkait kebutuhan customer, item expired/near ED, serta item slow moving
Menyampaikan informasi terkini mengenai status stock (barang masuk, putus, delay) kepada Supervisor/Sales sesuai arahan
Mengidentifikasi tren, pola, dan wawasan yang relevan dari data yang ada
Menyiapkan laporan, dashboard, dan presentasi untuk mengomunikasikan temuan dan rekomendasi kepada pemangku kepentingan
Berkolaborasi dengan tim fungsional lainnya untuk memahami kebutuhan bisnis dan menerjemahkannya menjadi solusi data
Membantu mengembangkan dan mengelola proyek-proyek analitik untuk meningkatkan efisiensi dan efektivitas operasional
Mengembangkan dan mempertahankan sistem database dan penyimpanan data perusahaan
Kualifikasi yang Dibutuhkan :
Pendidikan min S1 dalam bidang Teknologi Informasi, Statistika, Matematika, atau disiplin ilmu terkait
Minimal 2 tahun pengalaman kerja sebagai Data Analyst atau peran serupa
Mahir dalam menggunakan alat analitik seperti SQL, Excel
Kemampuan dalam pemodelan data, visualisasi, dan pelaporan
Pemahaman yang baik tentang teknik statistik dan data mining
Kemampuan komunikasi yang kuat, baik lisan maupun tulisan
Keingintahuan yang tinggi, berorientasi pada pemecahan masalah, dan kemampuan berinovasi
Bersedia untuk penempatan di Kawasan Industri MM2100, Cibitung",Mid Level
DATA ANALYST,PT ORIENTAMA MAKMUR ABADI,Jakarta Lainnya,Jakarta Raya,10000000,"API, SQL, Tableau, Looker, Python, Power BI, Excel","Computer Science, Data Science, Management",,"As Data Analyst, you will directly
report to Director
Requirement
:
Bachelor Degree of IT / Computer science / Data science, or Certification of course completion in data analyst
Age Range : 20 – 39
Must have skill
: Expert in excel, Gsheet,  SQL, Tableau, Phyton, Scraping Website (including E-commerce marketplace)
Able to work with
Target & Deadlines.
Location of work : Kemayoran - Central Jkt or Pakem - Kab Tangerang (depend on the Candidate location)
Job Description :
Data Collection & Management
Gather data from multiple sources (databases, APIs, spreadsheets, surveys, etc.).
Maintain and update databases or data systems.
Ensure data accuracy, completeness, and consistency.
Data Cleaning & Preparation
Identify and correct errors or inconsistencies in data.
Standardize, transform, and organize data for analysis.
Handle missing or incomplete data appropriately.
Data Analysis & Interpretation
Use statistical techniques to identify trends, correlations, and patterns.
Perform exploratory and predictive data analysis.
Apply business logic to translate raw numbers into meaningful insights.
Reporting & Visualization
Develop dashboards and reports (e.g., in Power BI, Tableau, Excel, or Looker).
Present findings to stakeholders in a clear, concise way.
Create visualizations (charts, graphs, KPIs) to make data insights accessible.
Punctually deliver report as required by users, including periodical reports (daily , weekly, quarterly & yearly report).
Business Support & Decision-Making
Collaborate with management to understand business needs
Provide data-driven recommendations for process improvement, growth, cost reduction or other important matters.
Support strategic planning and forecasting
Collaboration & Communication
Work with cross-functional teams (IT, marketing, finance, operations, etc.).
Translate technical findings into actionable business language.
Document processes, analysis methods, and key findings.
Tool & Technology Use
Query databases using SQL or similar languages.
Work with Python, Gsheet, or Excel for data analysis.
Leverage BI tools for reporting and visualization.",
MARKETING DATA ANALYST,PT Yamaha Indonesia Motor Mfg,Jakarta Timur,Jakarta Raya,,"SQL, Adobe Analytics, Python, R, Power BI, Excel","Communication, Computer Science, Data Science, Informatics Engineering, Information Systems, Information Technology, Management, Mathematics, Statistics",1,"Requirement :
S1 Data Science / data analis, Statistika / Matematika Terapan, Ilmu Komunikasi, manajemen Pemasaran / Digital Marketing, Sistem Informasi, Teknik informatika/ Ilmu Komputer
Memiliki pengalaman minimal 1 tahun di bidang Data Science
Menguasai tools analytics seperti GA/Adobe Analytics, Meta Ads Manager, Search Console, Semrush, Metric Cools, etc)
Menguasai data analytic tools SQL, Excel/Google sheet,Power BI, Python,R etc
Memiliki kemampuan yang baik terkait project management, analytical thinking & communication skill
Memiliki daya analisa yang kuat, berpikir logis & sistematis serta dapat mencari solusi
Job Description:
Mengumpulkan & menganalisa data dari berbagai kampanye digital untuk mengukur efektivitas & memberikan wawasan yang membantu pengambilan keputusan dalam pengembangan strategi pemasaran
Memantau metrik utama dari saluran digital seperti media sosial, iklan online, dan email marketing, serta menyusun laporan kinerja yang menggambarkan hasil dan rekomendasi untuk optimasi lebih lanjut.
Mengidentifikasi tren & pola dalam data untuk memberikan rekomendasi yang membantu tim pemasaran dalam merencanakan dan mengoptimalkan kampanye yang lebih efektif & efisien",Entry Level
